order,filename,role,alt_text
1,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-partially-open-hero.png,partially-open-hero,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - partially open hero
2,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-fully-extended-tray.png,fully-extended-tray,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - fully extended tray
3,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-open-side-view.png,open-side-view,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - open side view
4,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-sleeve-corner-detail.png,sleeve-corner-detail,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - sleeve corner detail
5,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-custom-logo-detail.png,custom-logo-detail,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - custom logo detail
6,custom-orange-drawer-gift-box-navy-tray-ribbon-pull-separated-sleeve-and-tray.png,separated-sleeve-and-tray,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull - separated sleeve and tray
