"batch_id","product_id","title","url","viewport","viewport_width","viewport_height","response_status","document_scroll_width","document_scroll_height","horizontal_overflow","h1_count","heading_hierarchy_valid","image_count","broken_image_count","quote_form_present","cta_count","internal_link_count","banned_phrases","screenshot_truncated","screenshot_path","screenshot_bytes","viewport_screenshot_path","viewport_screenshot_bytes","qa_status","qa_failures","error"
"BATCH-03","1420","CUSTOM SKINCARE SET PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-skincare-set-packaging-box/","desktop-1440","1440","1000","200","1440","10864","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/1420-custom-skincare-set-packaging-box-desktop-1440.png","1767583","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/1420-custom-skincare-set-packaging-box-desktop-1440-viewport.png","368574","PASS","",""
"BATCH-03","1420","CUSTOM SKINCARE SET PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-skincare-set-packaging-box/","mobile-390","390","844","200","390","17195","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/1420-custom-skincare-set-packaging-box-mobile-390.png","1266276","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-03/1420-custom-skincare-set-packaging-box-mobile-390-viewport.png","127470","PASS","",""
"BATCH-04","397","Custom Magnetic Gift Box with Insert Tray","http://localhost/hopgiayvpn/product/custom-magnetic-gift-box-with-insert-tray/","desktop-1440","1440","1000","200","1440","10706","false","1","true","14","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/397-custom-magnetic-gift-box-with-insert-tray-desktop-1440.png","1803064","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/397-custom-magnetic-gift-box-with-insert-tray-desktop-1440-viewport.png","466853","PASS","",""
"BATCH-04","397","Custom Magnetic Gift Box with Insert Tray","http://localhost/hopgiayvpn/product/custom-magnetic-gift-box-with-insert-tray/","mobile-390","390","844","200","390","16526","false","1","true","14","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/397-custom-magnetic-gift-box-with-insert-tray-mobile-390.png","1208963","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/397-custom-magnetic-gift-box-with-insert-tray-mobile-390-viewport.png","132758","PASS","",""
"BATCH-04","5709","CUSTOM LUXURY PERFUME BOX WITH MAGNETIC CLOSURE","http://localhost/hopgiayvpn/product/custom-luxury-perfume-box-with-magnetic-closure/","desktop-1440","1440","1000","200","1440","10741","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/5709-custom-luxury-perfume-box-with-magnetic-closure-desktop-1440.png","1648976","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/5709-custom-luxury-perfume-box-with-magnetic-closure-desktop-1440-viewport.png","328113","PASS","",""
"BATCH-04","5709","CUSTOM LUXURY PERFUME BOX WITH MAGNETIC CLOSURE","http://localhost/hopgiayvpn/product/custom-luxury-perfume-box-with-magnetic-closure/","mobile-390","390","844","200","390","16667","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/5709-custom-luxury-perfume-box-with-magnetic-closure-mobile-390.png","1190342","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-04/5709-custom-luxury-perfume-box-with-magnetic-closure-mobile-390-viewport.png","107464","PASS","",""
"BATCH-05","771","CUSTOM COLORED PENCIL PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-colored-pencil-packaging-box/","desktop-1440","1440","1000","200","1440","10872","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/771-custom-colored-pencil-packaging-box-desktop-1440.png","1679285","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/771-custom-colored-pencil-packaging-box-desktop-1440-viewport.png","318784","PASS","",""
"BATCH-05","771","CUSTOM COLORED PENCIL PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-colored-pencil-packaging-box/","mobile-390","390","844","200","390","16823","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/771-custom-colored-pencil-packaging-box-mobile-390.png","1205050","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/771-custom-colored-pencil-packaging-box-mobile-390-viewport.png","96168","PASS","",""
"BATCH-05","7209","CUSTOM BIRTHDAY PAPER GIFT BAG WITH PRESENT PRINT","http://localhost/hopgiayvpn/product/custom-birthday-paper-gift-bag-with-present-print/","desktop-1440","1440","1000","200","1440","10675","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/7209-custom-birthday-paper-gift-bag-with-present-print-desktop-1440.png","1648848","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/7209-custom-birthday-paper-gift-bag-with-present-print-desktop-1440-viewport.png","336494","PASS","",""
"BATCH-05","7209","CUSTOM BIRTHDAY PAPER GIFT BAG WITH PRESENT PRINT","http://localhost/hopgiayvpn/product/custom-birthday-paper-gift-bag-with-present-print/","mobile-390","390","844","200","390","16122","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/7209-custom-birthday-paper-gift-bag-with-present-print-mobile-390.png","1138903","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-05/7209-custom-birthday-paper-gift-bag-with-present-print-mobile-390-viewport.png","97116","PASS","",""
"BATCH-06","228","Custom Cylindrical Paper Tube Box","http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/","desktop-1440","1440","1000","200","1440","10069","false","1","true","5","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/228-custom-cylindrical-paper-tube-box-desktop-1440.png","1471554","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/228-custom-cylindrical-paper-tube-box-desktop-1440-viewport.png","247084","PASS","",""
"BATCH-06","228","Custom Cylindrical Paper Tube Box","http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/","mobile-390","390","844","200","390","15665","false","1","true","5","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/228-custom-cylindrical-paper-tube-box-mobile-390.png","1089370","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/228-custom-cylindrical-paper-tube-box-mobile-390-viewport.png","87396","PASS","",""
"BATCH-06","7291","CUSTOM CHRISTMAS GIFT BOX WITH RIBBON","http://localhost/hopgiayvpn/product/custom-christmas-gift-box-with-ribbon/","desktop-1440","1440","1000","200","1440","10997","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/7291-custom-christmas-gift-box-with-ribbon-desktop-1440.png","1748287","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/7291-custom-christmas-gift-box-with-ribbon-desktop-1440-viewport.png","376588","PASS","",""
"BATCH-06","7291","CUSTOM CHRISTMAS GIFT BOX WITH RIBBON","http://localhost/hopgiayvpn/product/custom-christmas-gift-box-with-ribbon/","mobile-390","390","844","200","390","17169","false","1","true","16","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/7291-custom-christmas-gift-box-with-ribbon-mobile-390.png","1238195","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-06/7291-custom-christmas-gift-box-with-ribbon-mobile-390-viewport.png","102225","PASS","",""
"BATCH-07","7095","CUSTOM PET FOOD PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-pet-food-packaging-box/","desktop-1440","1440","1000","200","1440","10587","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7095-custom-pet-food-packaging-box-desktop-1440.png","1640288","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7095-custom-pet-food-packaging-box-desktop-1440-viewport.png","353869","PASS","",""
