product_id,title,batch_id,field,changed,old_sha256,new_sha256,old_word_count,new_word_count,qa_status
232,"Luxury Wine Bottle Packaging Boxes",BATCH-12,post_excerpt,YES,59760466604693297ee3de66643f839f9d6fa6a9ea9d95b2ab7ba222701e5c19,2a7d60030c598a209cec8e2f7831dbb6c9d7fac0b6ca8e1d3c62ec28ca14b9dd,14,42,PASS
232,"Luxury Wine Bottle Packaging Boxes",BATCH-12,post_content,YES,80c181c102f7dcb019f53c3dbf9da14b1976d6255deb24ecdded909dd9db390a,23d276a499fc37708845e1cdd1579cfe36f284443cf5c6eec492d09e5757fa0b,126,967,PASS
232,"Luxury Wine Bottle Packaging Boxes",BATCH-12,rank_math_title,YES,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c132eff77acb893d869760ad74f23084f5e301144b9804480de42db1005ded4a,0,7,PASS
232,"Luxury Wine Bottle Packaging Boxes",BATCH-12,rank_math_description,YES,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c2eec09dd86716f195a9e963295da41bca83ce6762a3e52e677571a083403a32,0,19,PASS
232,"Luxury Wine Bottle Packaging Boxes",BATCH-12,rank_math_focus_keyword,YES,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1e68b8b6733cfa85cd19b5054f1d0edb9cd6c7209314e2792c2331ab07b5e86d,0,5,PASS
233,"Custom Candle Jar Box with Insert",BATCH-17,post_excerpt,YES,da1cc985be3321ce872f24d6d7a43732beb9fe754c7836c8a128ec73f33b31dd,5161ba3cc99d63ab2d5c2543a3d6d2a609a92007a8be99b298e6cd6f31b50852,32,44,PASS
233,"Custom Candle Jar Box with Insert",BATCH-17,post_content,YES,6b1c3fc85b480c8d08bc0106809931dd652201b5a8285887d8094aa549bffe72,dabcd4521bd53494f7d06e821c43d609477e68d81118570e97ff873fa2f407a7,963,926,PASS
233,"Custom Candle Jar Box with Insert",BATCH-17,rank_math_title,YES,5f75239ceeb472fc8f2510be557a5fd95587fa1b05472aeac9fadce7f83ece3e,00720e7a73b8ba1faa82891177bb3d980fc2448b6dad3a5e44a03ccf41d06371,9,9,PASS
233,"Custom Candle Jar Box with Insert",BATCH-17,rank_math_description,YES,4d88738a3e8bcc84db6815f93a6fd9c564858015e7ec30670cdacbf2e9b23ba2,3afe5a5c97353d157707b84965ce30424f5f01cb2a9b751c57338275d1423bf6,24,22,PASS
233,"Custom Candle Jar Box with Insert",BATCH-17,rank_math_focus_keyword,NO,e372df899476269c358576ad8ce6e0dc65a78f5ffbc5b6cc1261abfdc4034498,e372df899476269c358576ad8ce6e0dc65a78f5ffbc5b6cc1261abfdc4034498,5,5,PASS
234,"Custom Incense Packaging Box with Window",BATCH-09,post_excerpt,YES,794847a64ec2f6dbd510414a4f5ed573d77f5fdf609461fc82c37b089a297853,fa2b1b9e2289f74accc258c77f478fe2319c8d765d2d3408b94f07344ca215a5,31,42,PASS
234,"Custom Incense Packaging Box with Window",BATCH-09,post_content,YES,bb05a6b336737c99b0c6baa97d764b34ba59b4c1fe13a35a13fcab8f7d0e9a75,63e558c07da028f22d2d8ecdd9dbb0b03418df8d5db92b30deefb101d9e9f83d,910,1003,PASS
234,"Custom Incense Packaging Box with Window",BATCH-09,rank_math_title,YES,31e0c937425bee73622f718c511ed141f06455768d2c4a024d8438f23cdc32cb,b47ffb6188b87d83e6f26f60bf5be602b7a7e93d62f87c0ee4517dcfda94de76,9,9,PASS
234,"Custom Incense Packaging Box with Window",BATCH-09,rank_math_description,YES,4a01859fa702bc69262e82f57fd5d068e937ca186a5dac5c671320f463c69bb2,39a7e3d3fc89c029d13521d37a00cbf70379ab74d99071554e216f29a1f907cf,24,20,PASS
234,"Custom Incense Packaging Box with Window",BATCH-09,rank_math_focus_keyword,NO,2ca1df268f0d7f13756e185fd08ef5ab2bb781455d967e5118de3b86d200b10b,2ca1df268f0d7f13756e185fd08ef5ab2bb781455d967e5118de3b86d200b10b,5,5,PASS
235,"Custom Essential Oil Packaging Box with Insert",BATCH-08,post_excerpt,YES,1b2afec6250ee521e67a4b57a5d63b90703272fda2ba09dc15a298da75b56065,d3f413ddb95125749cc6b26097f7be3f672d8dca09b800184036fa4c4a1f2262,32,40,PASS
235,"Custom Essential Oil Packaging Box with Insert",BATCH-08,post_content,YES,fbdcaa195da54f4bd9a056857df8f8fc43fb4ae5ca637aafd7ee57bc25a95236,76a2767c6ced03d64305d96ecbbc1045a9ba81c03e2e0e1f99c2a4e82e2688b4,955,1025,PASS
235,"Custom Essential Oil Packaging Box with Insert",BATCH-08,rank_math_title,YES,e399ad92d63a76397d898d38b9a180bbf17444f0fac6dc7560dded2acaa5828d,ddabe0fc68e26a3e7c562050be02fd7c7fff0ccb1a58318c8a374eca569c143c,10,8,PASS
235,"Custom Essential Oil Packaging Box with Insert",BATCH-08,rank_math_description,YES,9907f6804ec1c5c35bf10c2025bb23f392f63309682e272be24cad4b6032a8e3,780e8323222d8d3d34db24afd1c89d20d592ac06d1e6d7d3ebd6647e9556304e,24,21,PASS
235,"Custom Essential Oil Packaging Box with Insert",BATCH-08,rank_math_focus_keyword,NO,cb9d49de79e9d8f010cafb39f53c39be663934a96a58a472982d47b9539e7bf7,cb9d49de79e9d8f010cafb39f53c39be663934a96a58a472982d47b9539e7bf7,4,4,PASS
236,"Custom Wallet Drawer Box",BATCH-13,post_excerpt,YES,ccbe4f779a739b8998d6a4ee9320de64d581e683a58107fb9dc09be02a67838f,576eb9f5d2ee10b37c57976efd53ec5a2e8005492db6da68ec374a26aa1d2b2f,30,41,PASS
236,"Custom Wallet Drawer Box",BATCH-13,post_content,YES,a8bc585961407ea3a147579f13a1ae8ad3704a3a532da0ca8f17925a0226f896,70a9dcb863e8f101c0d81c037493c1515b826766b49eb43601df9f793ea1898f,809,997,PASS
236,"Custom Wallet Drawer Box",BATCH-13,rank_math_title,YES,1c1551d397500688a6550c0e4ed15f759601e95520b37ebe4f096c4e61b12fb3,6e41f5148eda44835a2034305701b4438b3e0d6e665ccc53e6c74fc4554ad4a4,7,8,PASS
236,"Custom Wallet Drawer Box",BATCH-13,rank_math_description,YES,8f5ec52953ecd7fe16fdba812639c06099132baa72d845e9e23037ba34540816,8929d02e3b7da13a02167e349fcc196ca30505afb1e0d43a47e705e3549a075f,24,21,PASS
236,"Custom Wallet Drawer Box",BATCH-13,rank_math_focus_keyword,NO,459685ca6475841a5abb06822b61383c5803dd47a39c52e8e18a943d9a4ae118,459685ca6475841a5abb06822b61383c5803dd47a39c52e8e18a943d9a4ae118,4,4,PASS
237,"Custom Rigid Gift Box with Ribbon Closure",BATCH-09,post_excerpt,YES,12c9199b3fe7c134d22cec438f9163b3e86154eb47c497072a5fbcf620360e9b,3a1060423e956fd0f95d60fcc10fa54819f0b45ea52db224454c000d09c1a34f,33,45,PASS
237,"Custom Rigid Gift Box with Ribbon Closure",BATCH-09,post_content,YES,c7d4a08c2b25dafcd8892b9a24adcbd4fe2d0d457f7cc860d0f95ad16c653daa,1d500ddd4e0debdeef1b984f43d8530129e83cb9415face6c3651437a163c546,964,929,PASS
