order,filename,role,alt_text
1,custom-botanical-embossed-drawer-gift-box-partially-open-hero.png,partially-open-hero,Custom Botanical Embossed Drawer Gift Box - partially open hero
2,custom-botanical-embossed-drawer-gift-box-top-open-view.png,top-open-view,Custom Botanical Embossed Drawer Gift Box - top open view
3,custom-botanical-embossed-drawer-gift-box-angled-open-view.png,angled-open-view,Custom Botanical Embossed Drawer Gift Box - angled open view
4,custom-botanical-embossed-drawer-gift-box-closed-three-quarter-view.png,closed-three-quarter-view,Custom Botanical Embossed Drawer Gift Box - closed three quarter view
5,custom-botanical-embossed-drawer-gift-box-gold-foil-logo-detail.png,gold-foil-logo-detail,Custom Botanical Embossed Drawer Gift Box - gold foil logo detail
6,custom-botanical-embossed-drawer-gift-box-botanical-emboss-detail.png,botanical-emboss-detail,Custom Botanical Embossed Drawer Gift Box - botanical emboss detail
7,custom-botanical-embossed-drawer-gift-box-sleeve-tray-edge-detail.png,sleeve-tray-edge-detail,Custom Botanical Embossed Drawer Gift Box - sleeve tray edge detail
