order,filename,role,alt_text
1,custom-fold-flat-apparel-mailer-box-inside-print-closed-hero-view.png,closed-hero-view,Custom Fold-Flat Apparel Mailer Box with Inside Print - closed hero view
2,custom-fold-flat-apparel-mailer-box-inside-print-open-empty-interior.png,open-empty-interior,Custom Fold-Flat Apparel Mailer Box with Inside Print - open empty interior
3,custom-fold-flat-apparel-mailer-box-inside-print-open-with-folded-clothing.png,open-with-folded-clothing,Custom Fold-Flat Apparel Mailer Box with Inside Print - open with folded clothing
4,custom-fold-flat-apparel-mailer-box-inside-print-closed-side-view.png,closed-side-view,Custom Fold-Flat Apparel Mailer Box with Inside Print - closed side view
5,custom-fold-flat-apparel-mailer-box-inside-print-bottom-locking-panels.png,bottom-locking-panels,Custom Fold-Flat Apparel Mailer Box with Inside Print - bottom locking panels
6,custom-fold-flat-apparel-mailer-box-inside-print-flat-dieline-and-assembled-box.png,flat-dieline-and-assembled-box,Custom Fold-Flat Apparel Mailer Box with Inside Print - flat dieline and assembled box
